SYMBOL,COMPANY_NAME
GMRINFRA,GMR Airports Infrastructure Ltd
GODREJCP,Godrej Consumer Products Ltd
GRASIM,Grasim Industries Ltd
HAL,Hindustan Aeronautics Ltd
HAVELLS,Havells India Ltd
HCLTECH,HCL Technologies Ltd
HDFCAMC,HDFC Asset Management Company Ltd
HDFCBANK,HDFC Bank Ltd
HDFCLIFE,HDFC Life Insurance Company Ltd
HEROMOTOCO,Hero MotoCorp Ltd
HINDALCO,Hindalco Industries Ltd
HINDCOPPER,Hindustan Copper Ltd
HINDPETRO,Hindustan Petroleum Corporation Ltd
HINDUNILVR,Hindustan Unilever Ltd
HUDCO,Housing & Urban Development Corporation Ltd
HYUNDAI,Hyundai Motor India Ltd
ICICIBANK,ICICI Bank Ltd
ICICIGI,ICICI Lombard General Insurance Co Ltd
ICICIPRULI,ICICI Prudential Life Insurance Co Ltd
IDEA,Vodafone Idea Ltd
IDFCFIRSTB,IDFC First Bank Ltd
IEX,Indian Energy Exchange Ltd
IGL,Indraprastha Gas Ltd
INDHOTEL,Indian Hotels Company Ltd
INDIGO,InterGlobe Aviation Ltd
INDUSINDBK,IndusInd Bank Ltd
INDUSTOWER,Indus Towers Ltd
INFY,Infosys Ltd
IOC,Indian Oil Corporation Ltd
IRB,IRB Infrastructure Developers Ltd
IRCON,IRCON International Ltd
IRCTC,Indian Railway Catering & Tourism Corporation Ltd
IRFC,Indian Railway Finance Corporation Ltd
ITC,ITC Ltd
JINDALSTEL,Jindal Steel & Power Ltd
JIOFIN,Jio Financial Services Ltd
JSWENERGY,JSW Energy Ltd
JSWSTEEL,JSW Steel Ltd
JUBLFOOD,Jubilant FoodWorks Ltd
KALYANKJIL,Kalyan Jewellers India Ltd
KEI,KEI Industries Ltd
KOTAKBANK,Kotak Mahindra Bank Ltd
KPITTECH,KPIT Technologies Ltd
LICHSGFIN,LIC Housing Finance Ltd
LICI,Life Insurance Corporation of India Ltd
LODHA,Macrotech Developers Ltd
LT,Larsen & Toubro Ltd
LTIM,LTIMindtree Ltd
LUPIN,Lupin Ltd
M&M,Mahindra & Mahindra Ltd
MANAPPURAM,Manappuram Finance Ltd
MARICO,Marico Ltd
MARUTI,Maruti Suzuki India Ltd
MAXHEALTH,Max Healthcare Institute Ltd
MAZDOCK,Mazagon Dock Shipbuilders Ltd
MFSL,Max Financial Services Ltd
MOTHERSON,Samvardhana Motherson International Ltd
MPHASIS,Mphasis Ltd
MRF,MRF Ltd
MUTHOOTFIN,Muthoot Finance Ltd
NATIONALUM,National Aluminium Company Ltd
NAUKRI,Info Edge (India) Ltd
NBCC,NBCC (India) Ltd
NCC,NCC Ltd
NESTLEIND,Nestle India Ltd
NHPC,NHPC Ltd
NMDC,NMDC Ltd
NTPC,NTPC Ltd
OBEROIRLTY,Oberoi Realty Ltd
OFSS,Oracle Financial Services Software Ltd
OIL,Oil India Ltd
ONGC,Oil & Natural Gas Corporation Ltd
PAYTM,One97 Communications Ltd
PEL,Piramal Enterprises Ltd
PERSISTENT,Persistent Systems Ltd
PETRONET,Petronet LNG Ltd
PFC,Power Finance Corporation Ltd
PIDILITIND,Pidilite Industries Ltd
PNB,Punjab National Bank Ltd
POLYCAB,Polycab India Ltd
POWERGRID,Power Grid Corporation of India Ltd
PRESTIGE,Prestige Estates Projects Ltd
RECLTD,REC Ltd
RELIANCE,Reliance Industries Ltd
SAIL,Steel Authority of India Ltd
SBICARD,SBI Cards & Payment Services Ltd
SBILIFE,SBI Life Insurance Company Ltd
SBIN,State Bank of India Ltd
SHREECEM,Shree Cement Ltd
SIEMENS,Siemens Ltd
SOLARINDS,Solar Industries India Ltd
SONACOMS,Sona BLW Precision Forgings Ltd
SRF,SRF Ltd
SUNPHARMA,Sun Pharmaceutical Industries Ltd
SUPREMEIND,Supreme Industries Ltd
SUZLON,Suzlon Energy Ltd
SWIGGY,Swiggy Ltd
TATACHEM,Tata Chemicals Ltd
TATACOMM,Tata Communications Ltd
TATACONSUM,Tata Consumer Products Ltd
TATAMOTORS,Tata Motors Ltd
TATAPOWER,Tata Power Company Ltd
TATASTEEL,Tata Steel Ltd
TCS,Tata Consultancy Services Ltd
TECHM,Tech Mahindra Ltd
TITAN,Titan Company Ltd
TORNTPHARM,Torrent Pharmaceuticals Ltd
TORNTPOWER,Torrent Power Ltd
TRENT,Trent Ltd
TVSMOTOR,TVS Motor Company Ltd
ULTRACEMCO,UltraTech Cement Ltd
UNIONBANK,Union Bank of India Ltd
UNITDSPR,United Spirits Ltd
UPL,UPL Ltd
VEDL,Vedanta Ltd
VOLTAS,Voltas Ltd
WIPRO,Wipro Ltd
YESBANK,Yes Bank Ltd
ZOMATO,Zomato Ltd
ZYDUSLIFE,Zydus Lifesciences Ltd
